"","k","N","NF","NM","SDF","SDM","lam01","lam02","sig1","sig2","SDFS","SDFL","SDMS","SDML","truesig1","truesig2","truelam01","truelam02","N1CI","N2CI","Sig1CI","Sig2CI","Lam01CI","Lam02CI","TrueNF","TrueNM","Model"
"78",79,0,368,263,28.8364016787777,29.4890119084431,0.0560519702227277,0.0288162473975425,0.628228177167126,0.804766830602361,0.0506525599072866,0.00941904126593697,0.0834984470057022,0.00637600619202872,0.6,0.9,0.07,0.03,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,269,173,"BandSMR"
"79",8,0,298,213,50.2183147450733,43.0433307328144,0.0736799119380318,0.0272149028781733,0.595649029210798,0.889767951428913,0.0591985806647321,0.0128001179049215,0.11835485185867,0.00707153999506527,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,266,177,"BandSMR"
"80",80,0,297,200,47.6250296303716,41.9574787780445,0.0816466799363678,0.0345154004464268,0.591058130566038,0.830061987298211,0.0452321983997406,0.0123652597742629,0.0970126896175994,0.00861916647391263,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,258,186,"BandSMR"
"81",81,0,333,252,39.974345208697,34.2614800991024,0.0680418197513694,0.0155684210520795,0.609102961903436,1.20650104589574,0.0427597391532459,0.0110795122691634,0.148083228193549,0.00418923741915973,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,278,181,"BandSMR"
"82",82,0,344,223,39.622723868205,43.3910123548818,0.0700544309242193,0.030393874863482,0.580824273404985,0.796080004162626,0.0459820510085292,0.0108850321456115,0.093243721834133,0.0082088546883089,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,268,180,"BandSMR"
"83",83,0,349,178,39.7504412351446,40.249464060833,0.055181628685494,0.02963500636668,0.658760171778024,0.940255755765495,0.0465673431657696,0.00873580531846375,0.109604219925045,0.00747286431448359,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,265,189,"BandSMR"
"84",84,0,280,266,53.1318540897178,34.0235798057438,0.0607948009534974,0.0238550405374851,0.655415116168476,0.88837874334273,0.0696554393368134,0.0104486111725375,0.132219237820316,0.00671308642736314,0.6,0.9,0.07,0.03,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,271,168,"BandSMR"
"85",85,0,338,135,38.4364744613205,36.0138318425353,0.0609091907003465,0.0434786150257646,0.630585547605957,0.908118658439144,0.0435843109725364,0.00980135101923572,0.102120658895546,0.0107439777170883,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,265,181,"BandSMR"
"86",86,0,321,198,40.7580252459438,39.9027793311381,0.066411203653338,0.0210864259668326,0.629441355574895,1.11410016044565,0.0437442001064299,0.00999470368273249,0.118121711258558,0.00469310602853149,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,266,181,"BandSMR"
"87",87,0,339,246,38.8676005324067,37.278705734045,0.104403397814973,0.0226371770007538,0.542605824629272,0.971127107314981,0.036440088413583,0.0143945444588242,0.139178688762258,0.0063829300743139,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,263,177,"BandSMR"
"88",88,0,352,258,36.1150089430086,32.7864908684556,0.0848193101669913,0.020580994733378,0.536782536363007,1.02280950153411,0.0398807329505819,0.0134163281994624,0.111988314584838,0.00467958070712219,0.6,0.9,0.07,0.03,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,265,181,"BandSMR"
"89",89,0,379,236,23.0746794058308,39.4486213097662,0.0809227167621189,0.0396438719334405,0.517777976567693,0.705548645570969,0.0371354246580137,0.0126758504036026,0.0741673920461114,0.00825961558608786,0.6,0.9,0.07,0.03,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,274,169,"BandSMR"
"90",9,0,354,268,37.6843960978399,30.1256983717204,0.0864420396141579,0.0287518816473234,0.478108775594302,0.888971562348346,0.0409965367964074,0.0136343258736276,0.109160977125097,0.0067378398261323,0.6,0.9,0.07,0.03,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,270,176,"BandSMR"
